GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0050680	negative regulation of epithelial cell proliferation	0.00148556020059273	0.00148556020059273	+1	CAV1,ZEB1,SFRP1,PEX2,ROBO1,MCC,TGFBR3,PTPRM,FGFR2,IL12A,PTPRK
GO:0090130	tissue migration	0.00148556020059273	0.00148556020059273	+1	INSL3,PTGS2,CCBE1,PTPRG,EPB41L4B,SMOC2,ROBO1,PLK2,BMPER,MCC,NRP1,TGFBR3,EMP2,ADAMTS9,KITLG,RHOJ,PTPRM
GO:0060419	heart growth	0.0016665813144598	0.0016665813144598	+1	TENM4,SORBS2,TGFBR3,GATA6,FGFR2,YAP1,TBX2,PROX1,IGF1
GO:0071772	response to BMP	0.00169299850389491	0.00169299850389491	+1	COL2A1,AMHR2,CAV1,SMURF2,SOST,SFRP1,BMPER,TGFBR3,BMP2,GATA6,RGMB,BMP5,GREM2
GO:0071773	cellular response to BMP stimulus	0.00169299850389491	0.00169299850389491	+1	COL2A1,AMHR2,CAV1,SMURF2,SOST,SFRP1,BMPER,TGFBR3,BMP2,GATA6,RGMB,BMP5,GREM2
GO:0097191	extrinsic apoptotic signaling pathway	0.00189716495221933	0.00189716495221933	+1	CD27,RET,COL2A1,CAV1,CX3CL1,BCL10,SFRP1,NRP1,KITLG,EYA4,IL12A,EYA1,BMP5,YAP1,IGF1
GO:0045927	positive regulation of growth	0.00211771461387256	0.00211771461387256	+1	CSH2,CDH4,SFRP1,MUL1,GHR,CXCL12,NRP1,TGFBR3,N6AMT1,GATA6,FGFR2,TEAD1,YAP1,TBX2,PROX1,IGF1
GO:0043583	ear development	0.00232327569783448	0.00232327569783448	+1	COL2A1,ZEB1,OTX1,LRIG1,BMPER,SIX4,BMP2,EYA4,FGFR2,MYO6,EYA1,BMP5,TBX2,PROX1,LRIG3
GO:0048839	inner ear development	0.00232327569783448	0.00232327569783448	+1	COL2A1,ZEB1,OTX1,LRIG1,BMPER,SIX4,BMP2,EYA4,FGFR2,MYO6,EYA1,TBX2,PROX1,LRIG3
GO:2001236	regulation of extrinsic apoptotic signaling pathway	0.00232327569783448	0.00232327569783448	+1	RET,COL2A1,CAV1,CX3CL1,BCL10,SFRP1,NRP1,EYA4,EYA1,BMP5,YAP1,IGF1
GO:0042471	ear morphogenesis	0.00233340113416619	0.00233340113416619	+1	COL2A1,ZEB1,OTX1,LRIG1,SIX4,FGFR2,MYO6,EYA1,TBX2,PROX1,LRIG3
GO:0003007	heart morphogenesis	0.00244062327393276	0.00244062327393276	+1	COL2A1,FLRT2,ROBO1,PARVA,NRP1,TGFBR3,EMP2,BMP2,GATA6,FGFR2,PITX2,EYA1,BMP5,YAP1,TBX2,PROX1
GO:0048593	camera-type eye morphogenesis	0.00271176607205323	0.00271176607205323	+1	WNT9A,CABP4,ZEB1,FAT3,NTRK2,LARGE,PTPRM,PITX2,TBX2,PROX1,FAT1
GO:0030509	BMP signaling pathway	0.00320544464993471	0.00320544464993471	+1	AMHR2,CAV1,SMURF2,SOST,SFRP1,BMPER,TGFBR3,BMP2,GATA6,RGMB,BMP5,GREM2
GO:0035265	organ growth	0.00351644576907686	0.00351644576907686	+1	TENM4,BNC2,SORBS2,ESR1,TGFBR3,OSTN,GATA6,FGFR2,YAP1,TBX2,PROX1,IGF1
GO:0031032	actomyosin structure organization	0.00351644576907686	0.00351644576907686	+1	MYO18B,LIMCH1,SFRP1,FERMT2,EPB41L4B,FAM171A1,CNN3,SIX4,EPB41L4A,NRP1,TJP1,ARHGAP28
GO:0048639	positive regulation of developmental growth	0.00351644576907686	0.00351644576907686	+1	CDH4,MUL1,GHR,CXCL12,NRP1,TGFBR3,GATA6,FGFR2,YAP1,TBX2,PROX1,IGF1
GO:0010594	regulation of endothelial cell migration	0.00351644576907686	0.00351644576907686	+1	PTGS2,CCBE1,SMOC2,PLK2,BMPER,NRP1,TGFBR3,EMP2,ADAMTS9,RHOJ,PTPRM,PROX1
GO:0060045	positive regulation of cardiac muscle cell proliferation	0.00362858635683229	0.00362858635683229	+1	TGFBR3,GATA6,FGFR2,YAP1,TBX2
GO:0055017	cardiac muscle tissue growth	0.00364209116280551	0.00364209116280551	+1	TENM4,SORBS2,TGFBR3,GATA6,FGFR2,YAP1,TBX2,IGF1
GO:0048863	stem cell differentiation	0.00364209116280551	0.00364209116280551	+1	SEMA4F,RET,SETD6,LRP6,SFRP1,ESR1,NRP1,KITLG,GATA6,FGFR2,PITX2,CDH2,YAP1,TBX2,SOX5
GO:0060526	prostate glandular acinus morphogenesis	0.00370669796179084	0.00370669796179084	+1	SFRP1,ESR1,FGFR2
GO:0060527	prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis	0.00370669796179084	0.00370669796179084	+1	SFRP1,ESR1,FGFR2
GO:1900748	positive regulation of vascular endothelial growth factor signaling pathway	0.00429254686054132	0.00429254686054132	+1	CCBE1,SMOC2,ROBO1
GO:0003206	cardiac chamber morphogenesis	0.00466514306750823	0.00466514306750823	+1	ROBO1,PARVA,NRP1,TGFBR3,BMP2,GATA6,FGFR2,BMP5,TBX2,PROX1
GO:0034332	adherens junction organization	0.00472377856187367	0.00472377856187367	+1	CDH4,CDH19,CDH9,FERMT2,TJP1,CDH2,CDH11
GO:0060840	artery development	0.00473123492362171	0.00473123492362171	+1	SCN11A,ROBO1,NRP1,ADAMTS9,EYA1,APOB,HPGD,TBX2,PROX1
GO:0006936	muscle contraction	0.00493306873099553	0.00493306873099553	+1	REM1,TRIM63,P2RX6,SLC8A3,PTGS2,PTGER3,SCN11A,CAV1,DOCK4,APBB2,ADRA1B
GO:0060420	regulation of heart growth	0.00493306873099553	0.00493306873099553	+1	TGFBR3,GATA6,FGFR2,YAP1,TBX2,PROX1,IGF1
GO:0071696	ectodermal placode development	0.00499794130377797	0.00499794130377797	+1	SIX4,NRP1,TBX2,PROX1
GO:0071599	otic vesicle development	0.00499794130377797	0.00499794130377797	+1	COL2A1,FGFR2,EYA1,PROX1
GO:0001954	positive regulation of cell-matrix adhesion	0.00502732834893758	0.00502732834893758	+1	CX3CL1,CCR7,SFRP1,FERMT2,NRP1,EMP2
GO:0008202	steroid metabolic process	0.00512868827434803	0.00512868827434803	+1	SULT4A1,SDR42E1,CYP46A1,CYP2R1,HSD17B7,RORA,PON1,VLDLR,ESR1,RDH16,BMP2,SULT2A1,NR1H4,SERPINA12,BMP5,APOB,PROX1
GO:0090090	negative regulation of canonical Wnt signaling pathway	0.00512868827434803	0.00512868827434803	+1	CAV1,SOST,SFRP1,WWTR1,TLE1,MCC,SOX13,BMP2,RBMS3,CDH2
GO:0045598	regulation of fat cell differentiation	0.00523414057692706	0.00523414057692706	+1	ZFP36L1,PTGS2,SFRP1,FERMT2,RORA,WWTR1,SOX13,BMP2,ENPP1,YAP1
GO:0060070	canonical Wnt signaling pathway	0.00578724967200034	0.00578724967200034	+1	WNT9A,CAV1,SMURF2,WLS,LRP6,SOST,SFRP1,WWTR1,TLE1,MCC,SOX13,BMP2,FGFR2,RBMS3,CDH2,YAP1
GO:0007204	positive regulation of cytosolic calcium ion concentration	0.00580225103893431	0.00580225103893431	+1	PTGER3,GLP1R,CALCR,CAV1,ACKR3,ADRA1B,LRP6,CCR7
GO:0006939	smooth muscle contraction	0.00583936271590113	0.00583936271590113	+1	PTGS2,PTGER3,SCN11A,CAV1,DOCK4,APBB2
GO:0003279	cardiac septum development	0.00621374082613062	0.00621374082613062	+1	ROBO1,PARVA,NRP1,TGFBR3,GATA6,FGFR2,BMP5,TBX2,PROX1
GO:0033138	positive regulation of peptidyl-serine phosphorylation	0.00634244889862194	0.00634244889862194	+1	IFNA4,PTGS2,RET,NTF4,CAV1
GO:0002042	cell migration involved in sprouting angiogenesis	0.00634244889862194	0.00634244889862194	+1	PTGS2,ROBO1,PLK2,NRP1,TGFBR3,RHOJ
GO:0055006	cardiac cell development	0.0064464178509145	0.0064464178509145	+1	MYO18B,CXADR,SORBS2,SGCB,TGFBR3,LARGE,PROX1,IGF1
GO:0044331	cell-cell adhesion mediated by cadherin	0.00646815404252805	0.00646815404252805	+1	CDH4,CDH19,CDH9
GO:0031440	regulation of mRNA 3'-end processing	0.00646815404252805	0.00646815404252805	+1	ZFP36L1,LEO1,NCBP2
GO:0016339	calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	0.00646815404252805	0.00646815404252805	+1	CDH4,CDH19,CDH9
GO:0060828	regulation of canonical Wnt signaling pathway	0.0068372141393686	0.0068372141393686	+1	CAV1,SMURF2,WLS,SOST,SFRP1,WWTR1,TLE1,MCC,SOX13,BMP2,FGFR2,RBMS3,CDH2,YAP1
GO:0003401	axis elongation	0.00687674472257604	0.00687674472257604	+1	SFRP1,SIX4,ESR1,FGFR2,YAP1
GO:0070588	calcium ion transmembrane transport	0.00688182774176543	0.00688182774176543	+1	REM1,CCL3,P2RX6,SLC8A3,CATSPER1,CACNA1I,SCN11A,CAV1,CX3CL1,CCR7,NALCN,CAMK2D,GHITM,TMEM37
GO:1901342	regulation of vasculature development	0.00688182774176543	0.00688182774176543	+1	SFRP1,CCBE1,SMOC2,PLK2,BMPER,CXCL12,NRP1,EMP2,PDE3B,ADAMTS9,TJP1,RHOJ,GATA6,PTPRM,ISM1
GO:0061138	morphogenesis of a branching epithelium	0.00700964079007468	0.00700964079007468	+1	SFRP1,SIX4,ESR1,NRP1,BMP2,ADAMTS16,PGR,FGFR2,EYA1,YAP1,TBX2,PROX1
GO:0014033	neural crest cell differentiation	0.0070616229340791	0.0070616229340791	+1	SEMA4F,RET,LRP6,SFRP1,NRP1,KITLG,PITX2,CDH2
GO:2000807	regulation of synaptic vesicle clustering	0.0070616229340791	0.0070616229340791	+1	BRSK1,CDH2,PCDH17
GO:0048645	animal organ formation	0.00706799196084903	0.00706799196084903	+1	NTF4,ROBO1,EMP2,BMP2,GATA6,FGFR2,EYA1
GO:0043542	endothelial cell migration	0.00732736601020244	0.00732736601020244	+1	PTGS2,CCBE1,SMOC2,ROBO1,PLK2,BMPER,NRP1,TGFBR3,EMP2,ADAMTS9,RHOJ,PTPRM,PROX1
GO:0030178	negative regulation of Wnt signaling pathway	0.00732736601020244	0.00732736601020244	+1	CAV1,SOST,SFRP1,WWTR1,TLE1,MCC,SOX13,BMP2,RBMS3,CDH2,HIC1
GO:0060038	cardiac muscle cell proliferation	0.00817947208111996	0.00817947208111996	+1	TENM4,TGFBR3,GATA6,FGFR2,YAP1,TBX2
GO:0090049	regulation of cell migration involved in sprouting angiogenesis	0.00871959435059075	0.00871959435059075	+1	PTGS2,PLK2,NRP1,TGFBR3,RHOJ
GO:0055007	cardiac muscle cell differentiation	0.00910225873029232	0.00910225873029232	+1	MYO18B,CXADR,SORBS2,SGCB,BMP2,LARGE,GATA6,PROX1,IGF1
GO:0045599	negative regulation of fat cell differentiation	0.00933743735963729	0.00933743735963729	+1	FERMT2,RORA,WWTR1,BMP2,ENPP1,YAP1
GO:0090287	regulation of cellular response to growth factor stimulus	0.00933743735963729	0.00933743735963729	+1	CAV1,SMURF2,ZEB1,SOST,SFRP1,CCBE1,SMOC2,ROBO1,BMPER,NRP1,TGFBR3,BMP2,SPRY4,GATA6,IL12A
GO:0048844	artery morphogenesis	0.00933743735963729	0.00933743735963729	+1	NRP1,ADAMTS9,EYA1,APOB,HPGD,TBX2,PROX1
GO:0030279	negative regulation of ossification	0.00943004049404053	0.00943004049404053	+1	CCL3,CALCR,SOST,SFRP1,ENPP1
GO:0071453	cellular response to oxygen levels	0.00948095880859893	0.00948095880859893	+1	ZFP36L1,SLC8A3,PTGS2,CAV1,STC2,SFRP1,CHCHD2,RORA
GO:0048592	eye morphogenesis	0.0101781173490585	0.0101781173490585	+1	WNT9A,CABP4,ZEB1,FAT3,NTRK2,LARGE,PTPRM,PITX2,TBX2,PROX1,FAT1
GO:0060602	branch elongation of an epithelium	0.0103617860105342	0.0103617860105342	+1	SIX4,ESR1,FGFR2,YAP1
GO:0001657	ureteric bud development	0.0109041393298458	0.0109041393298458	+1	RET,SFRP1,BMPER,SIX4,BMP2,ADAMTS16,FGFR2,EYA1
GO:0034695	response to prostaglandin E	0.0109041393298458	0.0109041393298458	+1	SCN11A,CCR7,SFRP1,TGFBR3
GO:0048638	regulation of developmental growth	0.0109907904900258	0.0109907904900258	+1	CDH4,SEMA4F,STC2,MUL1,GHR,SIX4,CXCL12,NRP1,TGFBR3,OSTN,GATA6,FGFR2,YAP1,TBX2,PROX1,IGF1
GO:0007249	canonical NF-kappaB signal transduction	0.0111379385046408	0.0111379385046408	+1	DEFB124,CAV1,WLS,CX3CL1,BCL10,CCR7,RORA,MUL1,TLE1,PLK2,ESR1,NDFIP2,TGFBR3
GO:0072163	mesonephric epithelium development	0.0112750247105258	0.0112750247105258	+1	RET,SFRP1,BMPER,SIX4,BMP2,ADAMTS16,FGFR2,EYA1
GO:0072164	mesonephric tubule development	0.0112750247105258	0.0112750247105258	+1	RET,SFRP1,BMPER,SIX4,BMP2,ADAMTS16,FGFR2,EYA1
GO:0001763	morphogenesis of a branching structure	0.0114889068809567	0.0114889068809567	+1	SFRP1,SIX4,ESR1,NRP1,BMP2,ADAMTS16,PGR,FGFR2,EYA1,YAP1,TBX2,PROX1
GO:0048147	negative regulation of fibroblast proliferation	0.0114889068809567	0.0114889068809567	+1	LTA,CAV1,SFRP1,PEX2
GO:0060525	prostate glandular acinus development	0.0114889068809567	0.0114889068809567	+1	SFRP1,ESR1,FGFR2
GO:0060384	innervation	0.0114889068809567	0.0114889068809567	+1	RET,NTF4,LRIG1,NRP1
GO:0045986	negative regulation of smooth muscle contraction	0.0114889068809567	0.0114889068809567	+1	PTGS2,DOCK4,ARHGAP42
GO:0043122	regulation of canonical NF-kappaB signal transduction	0.0115978094059911	0.0115978094059911	+1	CAV1,WLS,CX3CL1,BCL10,CCR7,RORA,MUL1,TLE1,PLK2,ESR1,NDFIP2,TGFBR3,NR1H4
GO:0055021	regulation of cardiac muscle tissue growth	0.0117798936438653	0.0117798936438653	+1	TGFBR3,GATA6,FGFR2,YAP1,TBX2,IGF1
GO:0141091	transforming growth factor beta receptor superfamily signaling pathway	0.0118627173388143	0.0118627173388143	+1	AMHR2,CAV1,SMURF2,ZEB1,SOST,SFRP1,FERMT2,BMPER,TGFBR3,BMP2,GATA6,DACT2,RGMB,PTPRK,BMP5,HPGD
GO:0010634	positive regulation of epithelial cell migration	0.0118627173388143	0.0118627173388143	+1	INSL3,PTGS2,CCBE1,EPB41L4B,SMOC2,PLK2,NRP1,TGFBR3,RHOJ,PROX1
GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	0.0119439650848719	0.0119439650848719	+1	COL2A1,CX3CL1,NRP1,EYA4,EYA1,BMP5,YAP1,IGF1
GO:0072073	kidney epithelium development	0.0120838120340627	0.0120838120340627	+1	RET,SFRP1,WWTR1,BMPER,SIX4,BMP2,ADAMTS16,FGFR2,EYA1,YAP1
GO:0060326	cell chemotaxis	0.0127920655057731	0.0127920655057731	+1	CCL3,DEFB124,ITGA1,CX3CL1,DOCK4,ACKR3,CXADR,CCR7,MTUS1,SMOC2,PARVA,CXCL12,NRP1
GO:0097553	calcium ion transmembrane import into cytosol	0.0128697817007928	0.0128697817007928	+1	CCL3,SLC8A3,CACNA1I,SCN11A,CAV1,CX3CL1,CCR7,CAMK2D,GHITM
GO:0002065	columnar/cuboidal epithelial cell differentiation	0.0128697817007928	0.0128697817007928	+1	CAV1,BMP2,PGR,GATA6,FGFR2,CDH2,BMP5,YAP1,PROX1
GO:0090257	regulation of muscle system process	0.0128697817007928	0.0128697817007928	+1	REM1,TRIM63,SLC8A3,PTGS2,CAV1,DOCK4,LMCD1,ADRA1B
GO:0090497	mesenchymal cell migration	0.0128964956474065	0.0128964956474065	+1	SEMA4F,RET,NRP1,KITLG,PITX2,CDH2
GO:0060043	regulation of cardiac muscle cell proliferation	0.0128964956474065	0.0128964956474065	+1	TGFBR3,GATA6,FGFR2,YAP1,TBX2
GO:0001823	mesonephros development	0.0129209867465947	0.0129209867465947	+1	RET,SFRP1,BMPER,SIX4,BMP2,ADAMTS16,FGFR2,EYA1
GO:0045765	regulation of angiogenesis	0.0129335951626134	0.0129335951626134	+1	SFRP1,CCBE1,SMOC2,PLK2,BMPER,NRP1,EMP2,PDE3B,ADAMTS9,TJP1,RHOJ,GATA6,PTPRM,ISM1
GO:0001666	response to hypoxia	0.0130114606535354	0.0130114606535354	+1	LTA,ZFP36L1,SLC8A3,PTGS2,CAV1,STC2,SFRP1,CHCHD2,RORA,CXCL12,TGFBR3,BMP2,GATA6,FGFR2
GO:0033002	muscle cell proliferation	0.0130114606535354	0.0130114606535354	+1	PTGS2,CX3CL1,TENM4,TGFBR3,BMP2,GATA6,FGFR2,IL12A,HPGD,YAP1,TBX2,IGF1
GO:1900746	regulation of vascular endothelial growth factor signaling pathway	0.0130497618852377	0.0130497618852377	+1	CCBE1,SMOC2,ROBO1,IL12A
GO:0071456	cellular response to hypoxia	0.0133108375535326	0.0133108375535326	+1	ZFP36L1,SLC8A3,PTGS2,STC2,SFRP1,CHCHD2,RORA,GATA6,FGFR2
GO:0048754	branching morphogenesis of an epithelial tube	0.0135066531359589	0.0135066531359589	+1	SIX4,ESR1,NRP1,BMP2,ADAMTS16,PGR,FGFR2,EYA1,YAP1,TBX2
GO:0071600	otic vesicle morphogenesis	0.0138105827178043	0.0138105827178043	+1	FGFR2,EYA1,PROX1
GO:0002675	positive regulation of acute inflammatory response	0.0138720189217388	0.0138720189217388	+1	PTGS2,PTGER3,CCR7,OSMR
GO:0022612	gland morphogenesis	0.013954816929201	0.013954816929201	+1	CAV1,FGL1,SFRP1,ESR1,NRP1,PGR,FGFR2,TBX2,PROX1
GO:0008217	regulation of blood pressure	0.0139623116936214	0.0139623116936214	+1	MANF,PTGS2,GLP1R,ADRA1B,NCALD,CYP4F12,ARHGAP42,EMP2,UTS2B,ADAMTS16
GO:0060560	developmental growth involved in morphogenesis	0.0139623116936214	0.0139623116936214	+1	CDH4,SEMA4F,SFRP1,MUL1,SIX4,RAPH1,ESR1,CXCL12,NRP1,OSTN,FGFR2,YAP1,TBX2
GO:0055013	cardiac muscle cell development	0.0139623116936214	0.0139623116936214	+1	MYO18B,CXADR,SORBS2,SGCB,LARGE,PROX1,IGF1
GO:0033135	regulation of peptidyl-serine phosphorylation	0.014384394442844	0.014384394442844	+1	IFNA4,PTGS2,RET,NTF4,CAV1
GO:0010595	positive regulation of endothelial cell migration	0.014711275731157	0.014711275731157	+1	PTGS2,CCBE1,SMOC2,PLK2,NRP1,TGFBR3,RHOJ,PROX1
GO:0042310	vasoconstriction	0.014843243845187	0.014843243845187	+1	MANF,PTGS2,CAV1,DOCK4,ADRA1B
GO:0045667	regulation of osteoblast differentiation	0.0150793098831206	0.0150793098831206	+1	SFRP1,FERMT2,SMOC1,WWTR1,OSTN,BMP2,FGFR2,YAP1,IGF1
GO:0003073	regulation of systemic arterial blood pressure	0.0153304316096643	0.0153304316096643	+1	MANF,ADRA1B,NCALD,CYP4F12,ARHGAP42,EMP2,ADAMTS16
GO:1902547	regulation of cellular response to vascular endothelial growth factor stimulus	0.0155973698273528	0.0155973698273528	+1	CCBE1,SMOC2,ROBO1,IL12A
GO:0060442	branching involved in prostate gland morphogenesis	0.0159401624094778	0.0159401624094778	+1	SFRP1,ESR1,FGFR2
GO:0030514	negative regulation of BMP signaling pathway	0.0160043312696767	0.0160043312696767	+1	CAV1,SMURF2,SOST,SFRP1,BMPER
GO:0070509	calcium ion import	0.0160289664339287	0.0160289664339287	+1	CCL3,SLC8A3,CACNA1I,SCN11A
GO:0036294	cellular response to decreased oxygen levels	0.0160688280168148	0.0160688280168148	+1	ZFP36L1,SLC8A3,PTGS2,STC2,SFRP1,CHCHD2,RORA,GATA6,FGFR2
GO:0038084	vascular endothelial growth factor signaling pathway	0.0160688280168148	0.0160688280168148	+1	CCBE1,SMOC2,ROBO1,NRP1,IL12A
GO:0036293	response to decreased oxygen levels	0.0163795958573536	0.0163795958573536	+1	LTA,ZFP36L1,SLC8A3,PTGS2,CAV1,STC2,SFRP1,CHCHD2,RORA,CXCL12,TGFBR3,BMP2,GATA6,FGFR2
GO:0051017	actin filament bundle assembly	0.0167296160493515	0.0167296160493515	+1	LIMCH1,CX3CL1,SFRP1,FERMT2,FAM171A1,NRP1,TJP1,ARHGAP28,MYO1B
GO:0032231	regulation of actin filament bundle assembly	0.0168239056484803	0.0168239056484803	+1	LIMCH1,CX3CL1,SFRP1,FERMT2,NRP1,TJP1,ARHGAP28
GO:0021675	nerve development	0.0171414648236981	0.0171414648236981	+1	RET,NTF4,ACKR3,LRIG1,SIX4,NRP1,LARGE
GO:0098901	regulation of cardiac muscle cell action potential	0.0175775741120057	0.0175775741120057	+1	CAV1,CXADR,CAMK2D,DSC2
GO:0040013	negative regulation of locomotion	0.0175775741120057	0.0175775741120057	+1	SEMA4F,IL24,LIMCH1,CX3CL1,SFRP1,PTPRG,ROBO1,CXCL12,MCC,NRP1,TGFBR3,ADAMTS9,PTPRM,PTPRK,BMP5,CDH11
GO:0090288	negative regulation of cellular response to growth factor stimulus	0.0175775741120057	0.0175775741120057	+1	CAV1,SMURF2,SOST,SFRP1,BMPER,SPRY4,IL12A,GREM2
GO:0030111	regulation of Wnt signaling pathway	0.0175775741120057	0.0175775741120057	+1	CAV1,SMURF2,WLS,SOST,SFRP1,WWTR1,TLE1,MCC,SOX13,BMP2,FGFR2,RBMS3,CDH2,HIC1,YAP1
GO:0030048	actin filament-based movement	0.0175775741120057	0.0175775741120057	+1	LIMCH1,CAV1,CAMK2D,PARVA,EMP2,MYO1B,DSC2,MYO6,KCNN2
